"Spatial_Unit","Time_Step","Decrease_Pixels","Increase_Pixels"
"Amnat Charoen",2015,0,0
"Amnat Charoen",2016,0,0
"Amnat Charoen",2017,0,0
"Amnat Charoen",2018,0,0
"Amnat Charoen",2019,0,0
"Amnat Charoen",2020,0,0
"Amnat Charoen",2021,0,0
"Amnat Charoen",2022,0,0
"Amnat Charoen",2023,0,0
"Amnat Charoen",2024,0,0
"Amnat Charoen",2025,0,0
"Ang Thong",2015,0,0
"Ang Thong",2016,0,0
"Ang Thong",2017,0,0
"Ang Thong",2018,0,0
"Ang Thong",2019,0,0
"Ang Thong",2020,0,0
"Ang Thong",2021,0,0
"Ang Thong",2022,0,0
"Ang Thong",2023,0,0
"Ang Thong",2024,0,0
"Ang Thong",2025,0,0
"Bangkok Metropolis",2015,0,0
"Bangkok Metropolis",2016,0,0
"Bangkok Metropolis",2017,0,0
"Bangkok Metropolis",2018,0,0
"Bangkok Metropolis",2019,0,0
"Bangkok Metropolis",2020,0,0
"Bangkok Metropolis",2021,0,0
"Bangkok Metropolis",2022,0,0
"Bangkok Metropolis",2023,0,0
"Bangkok Metropolis",2024,0,0
"Bangkok Metropolis",2025,0,0
"Bueng Kan",2015,0,0
"Bueng Kan",2016,0,0
"Bueng Kan",2017,0,0
"Bueng Kan",2018,0,0
"Bueng Kan",2019,0,0
"Bueng Kan",2020,0,0
"Bueng Kan",2021,0,0
"Bueng Kan",2022,0,0
"Bueng Kan",2023,0,0
"Bueng Kan",2024,0,0
"Bueng Kan",2025,0,0
"Buri Ram",2015,0,0
"Buri Ram",2016,0,0
"Buri Ram",2017,0,0
"Buri Ram",2018,0,0
"Buri Ram",2019,0,0
"Buri Ram",2020,0,0
"Buri Ram",2021,0,0
"Buri Ram",2022,0,0
"Buri Ram",2023,0,0
"Buri Ram",2024,0,0
"Buri Ram",2025,0,0
"Chachoengsao",2015,0,0
"Chachoengsao",2016,0,0
"Chachoengsao",2017,0,0
"Chachoengsao",2018,0,0
"Chachoengsao",2019,0,0
"Chachoengsao",2020,0,0
"Chachoengsao",2021,0,0
"Chachoengsao",2022,0,0
"Chachoengsao",2023,0,0
"Chachoengsao",2024,0,0
"Chachoengsao",2025,0,0
"Chai Nat",2015,0,0
"Chai Nat",2016,0,0
"Chai Nat",2017,0,0
"Chai Nat",2018,0,0
"Chai Nat",2019,0,0
"Chai Nat",2020,0,0
"Chai Nat",2021,0,0
"Chai Nat",2022,0,0
"Chai Nat",2023,0,0
"Chai Nat",2024,0,0
"Chai Nat",2025,0,0
"Chaiyaphum",2015,0,0
"Chaiyaphum",2016,0,0
"Chaiyaphum",2017,0,0
"Chaiyaphum",2018,0,0
"Chaiyaphum",2019,0,0
"Chaiyaphum",2020,0,0
"Chaiyaphum",2021,0,0
"Chaiyaphum",2022,0,0
"Chaiyaphum",2023,0,0
"Chaiyaphum",2024,0,0
"Chaiyaphum",2025,0,0
"Chanthaburi",2015,0,0
"Chanthaburi",2016,0,0
"Chanthaburi",2017,0,0
"Chanthaburi",2018,0,0
"Chanthaburi",2019,0,0
"Chanthaburi",2020,0,0
"Chanthaburi",2021,0,0
"Chanthaburi",2022,0,0
"Chanthaburi",2023,0,0
"Chanthaburi",2024,0,0
"Chanthaburi",2025,0,0
"Chiang Mai",2015,0,0
"Chiang Mai",2016,0,0
"Chiang Mai",2017,0,0
"Chiang Mai",2018,0,0
"Chiang Mai",2019,0,0
"Chiang Mai",2020,0,0
"Chiang Mai",2021,0,0
"Chiang Mai",2022,0,0
"Chiang Mai",2023,0,0
"Chiang Mai",2024,0,0
"Chiang Mai",2025,0,0
"Chiang Rai",2015,0,0
"Chiang Rai",2016,0,0
"Chiang Rai",2017,0,0
"Chiang Rai",2018,0,0
"Chiang Rai",2019,0,0
"Chiang Rai",2020,0,0
"Chiang Rai",2021,0,0
"Chiang Rai",2022,0,0
"Chiang Rai",2023,0,0
"Chiang Rai",2024,0,0
"Chiang Rai",2025,0,0
"Chon Buri",2015,0,0
"Chon Buri",2016,0,0
"Chon Buri",2017,0,0
"Chon Buri",2018,0,0
"Chon Buri",2019,0,0
"Chon Buri",2020,0,0
"Chon Buri",2021,0,0
"Chon Buri",2022,0,0
"Chon Buri",2023,0,0
"Chon Buri",2024,0,0
"Chon Buri",2025,0,0
"Chumphon",2015,0,0
"Chumphon",2016,0,0
"Chumphon",2017,0,0
"Chumphon",2018,0,0
"Chumphon",2019,0,0
"Chumphon",2020,0,0
"Chumphon",2021,0,0
"Chumphon",2022,0,0
"Chumphon",2023,0,0
"Chumphon",2024,0,0
"Chumphon",2025,0,0
"Kalasin",2015,0,0
"Kalasin",2016,0,0
"Kalasin",2017,0,0
"Kalasin",2018,0,0
"Kalasin",2019,0,0
"Kalasin",2020,0,0
"Kalasin",2021,0,0
"Kalasin",2022,0,0
"Kalasin",2023,0,0
"Kalasin",2024,0,0
"Kalasin",2025,0,0
"Kamphaeng Phet",2015,0,0
"Kamphaeng Phet",2016,0,0
"Kamphaeng Phet",2017,0,0
"Kamphaeng Phet",2018,0,0
"Kamphaeng Phet",2019,0,0
"Kamphaeng Phet",2020,0,0
"Kamphaeng Phet",2021,0,0
"Kamphaeng Phet",2022,0,0
"Kamphaeng Phet",2023,0,0
"Kamphaeng Phet",2024,0,0
"Kamphaeng Phet",2025,0,0
"Kanchanaburi",2015,0,0
"Kanchanaburi",2016,0,0
"Kanchanaburi",2017,0,0
"Kanchanaburi",2018,0,0
"Kanchanaburi",2019,0,0
"Kanchanaburi",2020,0,0
"Kanchanaburi",2021,0,0
"Kanchanaburi",2022,0,0
"Kanchanaburi",2023,0,0
"Kanchanaburi",2024,0,0
"Kanchanaburi",2025,0,0
"Khon Kaen",2015,0,0
"Khon Kaen",2016,0,0
"Khon Kaen",2017,0,0
"Khon Kaen",2018,0,0
"Khon Kaen",2019,0,0
"Khon Kaen",2020,0,0
"Khon Kaen",2021,0,0
"Khon Kaen",2022,0,0
"Khon Kaen",2023,0,0
"Khon Kaen",2024,0,0
"Khon Kaen",2025,0,0
"Krabi",2015,0,0
"Krabi",2016,0,0
"Krabi",2017,0,0
"Krabi",2018,0,0
"Krabi",2019,0,0
"Krabi",2020,0,0
"Krabi",2021,0,0
"Krabi",2022,0,0
"Krabi",2023,0,0
"Krabi",2024,0,0
"Krabi",2025,0,0
"Lampang",2015,0,0
"Lampang",2016,0,0
"Lampang",2017,0,0
"Lampang",2018,0,0
"Lampang",2019,0,0
"Lampang",2020,0,0
"Lampang",2021,0,0
"Lampang",2022,0,0
"Lampang",2023,0,0
"Lampang",2024,0,0
"Lampang",2025,0,0
"Lamphun",2015,0,0
