"Spatial_Unit","Time_Step","Pixels_Suitable"
"ตาพระยา",2010,2.64660525831277
"ทับลาน",2010,16.5154324672185
"ปางสีดา",2010,5.57535320916213
"เขาใหญ่",2010,19.9699018783867
NA,2010,2.43503396259621
"ตาพระยา",2011,4.98322276838007
"ทับลาน",2011,16.5296649611555
"ปางสีดา",2011,4.94078141846694
"เขาใหญ่",2011,19.719686745666
NA,2011,2.99022997682914
"ตาพระยา",2012,3.76566181096132
"ทับลาน",2012,16.5136244571768
"ปางสีดา",2012,4.94078141846694
"เขาใหญ่",2012,18.6855789972469
NA,2012,2.44289311906323
"ตาพระยา",2013,3.27279127153452
"ทับลาน",2013,16.4353348291479
"ปางสีดา",2013,4.94078141846694
"เขาใหญ่",2013,20.0929627073929
NA,2013,2.43503396259621
"ตาพระยา",2014,4.98322276838007
"ทับลาน",2014,18.4331810101867
"ปางสีดา",2014,6.44244927563705
"เขาใหญ่",2014,20.0929627073929
NA,2014,3.26733441418037
"ตาพระยา",2015,4.48760971936281
"ทับลาน",2015,17.4596903547645
"ปางสีดา",2015,5.57535320916213
"เขาใหญ่",2015,21.7252068696544
NA,2015,2.7791075236164
"ตาพระยา",2016,3.76566181096132
"ทับลาน",2016,15.4778846777044
"ปางสีดา",2016,4.94078141846694
"เขาใหญ่",2016,19.3326710835099
NA,2016,2.43503396259621
"ตาพระยา",2017,4.98322276838007
"ทับลาน",2017,19.5088844224811
"ปางสีดา",2017,6.44244927563705
"เขาใหญ่",2017,21.8481428129598
NA,2017,3.26733441418037
"ตาพระยา",2018,3.994739179936
"ทับลาน",2018,18.8653193637729
"ปางสีดา",2018,5.57535320916213
"เขาใหญ่",2018,21.2453620908782
NA,2018,2.7791075236164
"ตาพระยา",2019,2.6751974275976
"ทับลาน",2019,16.5154324672185
"ปางสีดา",2019,5.57535320916213
"เขาใหญ่",2019,20.3726435257122
NA,2019,2.43503396259621
"ตาพระยา",2020,3.27279127153452
"ทับลาน",2020,17.4552725455724
"ปางสีดา",2020,6.5701590294484
"เขาใหญ่",2020,20.9839172912762
NA,2020,2.44289311906323
"ตาพระยา",2021,5.22760529883089
"ทับลาน",2021,19.9133877381682
"ปางสีดา",2021,7.97036607959308
"เขาใหญ่",2021,22.0249741105363
NA,2021,3.26733441418037
"ตาพระยา",2022,3.27279127153452
"ทับลาน",2022,18.4287632009946
"ปางสีดา",2022,6.44244927563705
"เขาใหญ่",2022,19.8379783807322
NA,2022,2.44289311906323
"ตาพระยา",2023,4.98322276838007
"ทับลาน",2023,19.9133877381682
"ปางสีดา",2023,7.43725509592332
"เขาใหญ่",2023,22.5305277360603
NA,2023,3.26733441418037
"ตาพระยา",2024,3.99502603776637
"ทับลาน",2024,18.1032554134727
"ปางสีดา",2024,6.50237813987769
"เขาใหญ่",2024,21.9962700484321
NA,2024,3.26733441418037
"ตาพระยา",2025,5.22760529883089
"ทับลาน",2025,19.9133877381682
"ปางสีดา",2025,7.80013966956176
"เขาใหญ่",2025,22.6856607943773
NA,2025,3.26733441418037
