"Spatial_Unit","Always_Absent","Always_Present","No_Pattern","Increasing","Decreasing","Fluctuating","Failed","Total_Pixels","Pct_Always_Absent","Pct_Always_Present","Pct_No_Pattern","Pct_Increasing","Pct_Decreasing","Pct_Fluctuating","Prop_Increasing","Prop_Stable_Suitable","Prop_Decreasing","Prop_Stable_Unsuitable"
"Amnat Charoen",52,0,0,0,0,0,0,52,100,0,0,0,0,0,NA,NA,0,100
"Ang Thong",17,0,0,0,0,0,0,17,100,0,0,0,0,0,NA,NA,0,100
"Bangkok Metropolis",32,0,0,0,0,0,0,32,100,0,0,0,0,0,NA,NA,0,100
"Bueng Kan",56,0,0,0,0,0,0,56,100,0,0,0,0,0,NA,NA,0,100
"Buri Ram",122,8,0,0,0,0,11,141,86.52,5.67,0,0,0,0,0,42.11,0,91.73
"Chachoengsao",51,9,0,0,0,0,19,79,64.56,11.39,0,0,0,0,0,32.14,0,72.86
"Chai Nat",41,0,0,0,0,0,0,41,100,0,0,0,0,0,NA,NA,0,100
"Chaiyaphum",107,28,0,0,0,0,31,166,64.46,16.87,0,0,0,0,0,47.46,0,77.54
"Chanthaburi",20,20,0,0,0,0,39,79,25.32,25.32,0,0,0,0,0,33.9,0,33.9
"Chiang Mai",31,120,0,0,0,0,148,299,10.37,40.13,0,0,0,0,0,44.78,0,17.32
"Chiang Rai",35,41,0,0,0,0,69,145,24.14,28.28,0,0,0,0,0,37.27,0,33.65
"Chon Buri",46,3,0,0,0,0,16,65,70.77,4.62,0,0,0,0,0,15.79,0,74.19
"Chumphon",15,0,0,0,0,0,67,82,18.29,0,0,0,0,0,0,0,0,18.29
"Kalasin",90,1,0,0,0,0,8,99,90.91,1.01,0,0,0,0,0,11.11,0,91.84
"Kamphaeng Phet",93,16,0,0,0,0,11,120,77.5,13.33,0,0,0,0,0,59.26,0,89.42
"Kanchanaburi",90,35,0,0,0,0,108,233,38.63,15.02,0,0,0,0,0,24.48,0,45.45
"Khon Kaen",138,1,0,0,0,0,14,153,90.2,0.65,0,0,0,0,0,6.67,0,90.79
"Krabi",9,0,0,0,0,0,55,64,14.06,0,0,0,0,0,0,0,0,14.06
"Lampang",29,29,0,0,0,0,123,181,16.02,16.02,0,0,0,0,0,19.08,0,19.08
"Lamphun",13,2,0,0,0,0,61,76,17.11,2.63,0,0,0,0,0,3.17,0,17.57
"Loei",39,25,0,0,0,0,82,146,26.71,17.12,0,0,0,0,0,23.36,0,32.23
"Lop Buri",86,0,0,0,0,0,5,91,94.51,0,0,0,0,0,0,0,0,94.51
"Mae Hong Son",4,74,0,0,0,0,95,173,2.31,42.77,0,0,0,0,0,43.79,0,4.04
"Maha Sarakham",86,0,0,0,0,0,0,86,100,0,0,0,0,0,NA,NA,0,100
"Mukdahan",42,0,0,0,0,0,17,59,71.19,0,0,0,0,0,0,0,0,71.19
"Nakhon Nayok",23,12,0,0,0,0,3,38,60.53,31.58,0,0,0,0,0,80,0,88.46
"Nakhon Pathom",35,0,0,0,0,0,0,35,100,0,0,0,0,0,NA,NA,0,100
"Nakhon Phanom",73,0,0,0,0,0,6,79,92.41,0,0,0,0,0,0,0,0,92.41
"Nakhon Ratchasima",214,30,0,0,0,0,22,266,80.45,11.28,0,0,0,0,0,57.69,0,90.68
"Nakhon Sawan",127,5,0,0,0,0,7,139,91.37,3.6,0,0,0,0,0,41.67,0,94.78
"Nakhon Si Thammarat",42,1,0,0,0,0,78,121,34.71,0.83,0,0,0,0,0,1.27,0,35
"Nan",9,57,0,0,0,0,88,154,5.84,37.01,0,0,0,0,0,39.31,0,9.28
"Narathiwat",19,0,0,0,0,0,35,54,35.19,0,0,0,0,0,0,0,0,35.19
"Nong Bua Lam Phu",65,1,0,0,0,0,3,69,94.2,1.45,0,0,0,0,0,25,0,95.59
"Nong Khai",46,3,0,0,0,0,5,54,85.19,5.56,0,0,0,0,0,37.5,0,90.2
"Nonthaburi",16,0,0,0,0,0,0,16,100,0,0,0,0,0,NA,NA,0,100
"Pathum Thani",27,0,0,0,0,0,0,27,100,0,0,0,0,0,NA,NA,0,100
"Pattani",23,0,0,0,0,0,4,27,85.19,0,0,0,0,0,0,0,0,85.19
"Phangnga",15,0,0,0,0,0,37,52,28.85,0,0,0,0,0,0,0,0,28.85
"Phatthalung",35,0,0,0,0,0,19,54,64.81,0,0,0,0,0,0,0,0,64.81
"Phayao",24,25,0,0,0,0,40,89,26.97,28.09,0,0,0,0,0,38.46,0,37.5
"Phetchabun",89,36,0,0,0,0,44,169,52.66,21.3,0,0,0,0,0,45,0,66.92
"Phetchaburi",29,11,0,0,0,0,39,79,36.71,13.92,0,0,0,0,0,22,0,42.65
"Phichit",64,0,0,0,0,0,0,64,100,0,0,0,0,0,NA,NA,0,100
"Phitsanulok",76,33,0,0,0,0,41,150,50.67,22,0,0,0,0,0,44.59,0,64.96
"Phra Nakhon Si Ayutthaya",44,0,0,0,0,0,0,44,100,0,0,0,0,0,NA,NA,0,100
"Phrae",12,15,0,0,0,0,66,93,12.9,16.13,0,0,0,0,0,18.52,0,15.38
"Phuket",6,0,0,0,0,0,0,6,100,0,0,0,0,0,NA,NA,0,100
"Prachin Buri",41,18,0,0,0,0,12,71,57.75,25.35,0,0,0,0,0,60,0,77.36
"Prachuap Khiri Khan",29,7,0,0,0,0,42,78,37.18,8.97,0,0,0,0,0,14.29,0,40.85
"Ranong",14,0,0,0,0,0,37,51,27.45,0,0,0,0,0,0,0,0,27.45
"Ratchaburi",44,1,0,0,0,0,29,74,59.46,1.35,0,0,0,0,0,3.33,0,60.27
"Rayong",25,3,0,0,0,0,21,49,51.02,6.12,0,0,0,0,0,12.5,0,54.35
"Roi Et",115,0,0,0,0,0,2,117,98.29,0,0,0,0,0,0,0,0,98.29
"Sa Kaeo",58,13,0,0,0,0,20,91,63.74,14.29,0,0,0,0,0,39.39,0,74.36
"Sakon Nakhon",120,2,0,0,0,0,16,138,86.96,1.45,0,0,0,0,0,11.11,0,88.24
"Samut Prakan",16,0,0,0,0,0,0,16,100,0,0,0,0,0,NA,NA,0,100
"Samut Sakhon",13,0,0,0,0,0,1,14,92.86,0,0,0,0,0,0,0,0,92.86
"Samut Songkhram",5,0,0,0,0,0,2,7,71.43,0,0,0,0,0,0,0,0,71.43
"Saraburi",51,3,0,0,0,0,8,62,82.26,4.84,0,0,0,0,0,27.27,0,86.44
"Satun",19,0,0,0,0,0,17,36,52.78,0,0,0,0,0,0,0,0,52.78
"Si Sa Ket",99,6,0,0,0,0,10,115,86.09,5.22,0,0,0,0,0,37.5,0,90.83
"Sing Buri",19,0,0,0,0,0,1,20,95,0,0,0,0,0,0,0,0,95
"Songkhla",66,0,0,0,0,0,33,99,66.67,0,0,0,0,0,0,0,0,66.67
"Sukhothai",70,6,0,0,0,0,27,103,67.96,5.83,0,0,0,0,0,18.18,0,72.16
"Suphan Buri",73,0,0,0,0,0,9,82,89.02,0,0,0,0,0,0,0,0,89.02
"Surat Thani",17,1,0,0,0,0,143,161,10.56,0.62,0,0,0,0,0,0.69,0,10.62
"Surin",109,0,0,0,0,0,9,118,92.37,0,0,0,0,0,0,0,0,92.37
"Tak",69,65,0,0,0,0,101,235,29.36,27.66,0,0,0,0,0,39.16,0,40.59
"Trang",24,0,0,0,0,0,43,67,35.82,0,0,0,0,0,0,0,0,35.82
"Trat",18,2,0,0,0,0,14,34,52.94,5.88,0,0,0,0,0,12.5,0,56.25
"Ubon Ratchathani",169,7,0,0,0,0,12,188,89.89,3.72,0,0,0,0,0,36.84,0,93.37
"Udon Thani",144,4,0,0,0,0,18,166,86.75,2.41,0,0,0,0,0,18.18,0,88.89
"Uthai Thani",51,16,0,0,0,0,31,98,52.04,16.33,0,0,0,0,0,34.04,0,62.2
"Uttaradit",38,14,0,0,0,0,54,106,35.85,13.21,0,0,0,0,0,20.59,0,41.3
"Yala",10,0,0,0,0,0,49,59,16.95,0,0,0,0,0,0,0,0,16.95
"Yasothon",66,0,0,0,0,0,0,66,100,0,0,0,0,0,NA,NA,0,100
