"Spatial_Unit","Time_Step","Decrease_Pixels","Increase_Pixels"
"เขาใหญ่",2010,0,0
"เขาใหญ่",2011,0,0
"เขาใหญ่",2012,0,0
"เขาใหญ่",2013,0,3
"เขาใหญ่",2014,0,1
"เขาใหญ่",2015,0,2
"เขาใหญ่",2016,0,0
"เขาใหญ่",2017,0,1
"เขาใหญ่",2018,0,0
"เขาใหญ่",2019,0,1
"เขาใหญ่",2020,0,1
"เขาใหญ่",2021,1,0
"เขาใหญ่",2022,0,0
"เขาใหญ่",2023,0,0
"เขาใหญ่",2024,0,0
"เขาใหญ่",2025,0,0
"ดงใหญ่",2010,0,0
"ดงใหญ่",2011,0,0
"ดงใหญ่",2012,0,0
"ดงใหญ่",2013,0,1
"ดงใหญ่",2014,0,0
"ดงใหญ่",2015,0,0
"ดงใหญ่",2016,0,0
"ดงใหญ่",2017,0,0
"ดงใหญ่",2018,0,0
"ดงใหญ่",2019,0,0
"ดงใหญ่",2020,0,0
"ดงใหญ่",2021,0,0
"ดงใหญ่",2022,0,0
"ดงใหญ่",2023,0,0
"ดงใหญ่",2024,0,0
"ดงใหญ่",2025,0,0
"ตาพระยา",2010,0,0
"ตาพระยา",2011,0,0
"ตาพระยา",2012,0,0
"ตาพระยา",2013,0,1
"ตาพระยา",2014,0,0
"ตาพระยา",2015,0,0
"ตาพระยา",2016,1,0
"ตาพระยา",2017,0,0
"ตาพระยา",2018,0,0
"ตาพระยา",2019,0,0
"ตาพระยา",2020,0,0
"ตาพระยา",2021,0,0
"ตาพระยา",2022,0,0
"ตาพระยา",2023,0,0
"ตาพระยา",2024,0,0
"ตาพระยา",2025,0,0
"ทับลาน",2010,0,0
"ทับลาน",2011,0,0
"ทับลาน",2012,0,0
"ทับลาน",2013,0,1
"ทับลาน",2014,0,0
"ทับลาน",2015,0,0
"ทับลาน",2016,0,0
"ทับลาน",2017,0,0
"ทับลาน",2018,0,0
"ทับลาน",2019,0,1
"ทับลาน",2020,0,1
"ทับลาน",2021,0,0
"ทับลาน",2022,0,0
"ทับลาน",2023,0,0
"ทับลาน",2024,0,0
"ทับลาน",2025,0,0
"ปางสีดา",2010,0,0
"ปางสีดา",2011,0,0
"ปางสีดา",2012,0,0
"ปางสีดา",2013,0,1
"ปางสีดา",2014,0,0
"ปางสีดา",2015,0,0
"ปางสีดา",2016,0,0
"ปางสีดา",2017,0,0
"ปางสีดา",2018,0,1
"ปางสีดา",2019,0,1
"ปางสีดา",2020,0,0
"ปางสีดา",2021,0,0
"ปางสีดา",2022,0,0
"ปางสีดา",2023,0,0
"ปางสีดา",2024,0,0
"ปางสีดา",2025,0,0
